#  H2 facteur FC   EF et X non couplé                                                         
#  VU JU VL JL      FC       TR.E.(cm-1)                                                
#       6320
  2  0  1  0  0.118946E-05  96398.45
  2  0  2  0  0.415930E-07  92472.66
  2  0  3  0  0.843930E-06  88777.23
  2  0  4  0  0.341154E-05  85309.28
  2  0  5  0  0.940664E-05  82067.67
  2  0  6  0  0.423629E-04  79053.81
  2  0  7  0  0.304751E-03  76271.68
  2  0  8  0  0.244010E-02  73728.43
  2  0  9  0  0.165316E-01  71435.50
  2  0 10  0  0.756566E-01  69409.12
  2  0 11  0  0.163012E+00  67672.46
  2  0 12  0  0.314447E-01  66257.39
  2  0 13  0  0.323287E+00  65208.23
  2  0 14  0  0.168733E+00  64586.21
  2  1  0  1  0.106845E-05 100453.09
  2  1  1  1  0.112572E-05  96297.84
  2  1  2  1  0.527827E-07  92377.78
  2  1  3  1  0.721323E-06  88688.08
  2  1  4  1  0.315107E-05  85225.78
  2  1  5  1  0.918557E-05  81989.88
  2  1  6  1  0.429761E-04  78981.77
  2  1  7  1  0.314100E-03  76205.45
  2  1  8  1  0.252484E-02  73668.41
  2  1  9  1  0.170676E-01  71381.95
  2  1 10  1  0.774738E-01  69362.66
  2  1 11  1  0.163442E+00  67633.79
  2  1 12  1  0.273254E-01  66227.66
  2  1 13  1  0.341400E+00  65189.28
  2  1 14  1  0.145965E+00  64581.07
  2  2  0  2  0.918559E-06 100241.23
  2  2  1  2  0.103354E-05  96097.76
  2  2  2  2  0.779603E-07  92189.29
  2  2  3  2  0.528457E-06  88510.92
  2  2  4  2  0.272299E-05  85059.88
  2  2  5  2  0.883378E-05  81835.30
  2  2  6  2  0.443596E-04  78838.60
  2  2  7  2  0.333878E-03  76074.05
  2  2  8  2  0.270309E-02  73549.24
  2  2  9  2  0.181849E-01  71275.81
  2  2 10  2  0.811739E-01  69270.81
  2  2 11  2  0.163937E+00  67557.48
  2  2 12  2  0.196731E-01  66169.33
  2  2 13  2  0.377167E+00  65152.56
  2  2 14  2  0.103871E+00  64572.46
  2  3  0  3  0.779091E-06  99925.97
